author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/296440966/,Москва,sale,flat,12,12,2,56.1,-1,0,9600000,,проспект Куприна,32к1,Бунинская аллея,Эко Бунино
NEWPOLIS,real_estate_agent,https://www.cian.ru/sale/flat/299181278/,Москва,sale,flat,3,7,2,60.5,-1,0,9600000,, Медовая Долина,2,Санино,Баркли Медовая долина
CENTURY 21 Перспектива,real_estate_agent,https://www.cian.ru/sale/flat/297115546/,Москва,sale,flat,4,9,2,44.3,-1,0,9700000,Марьино,Подольская ,9,Перерва,
МОЯ СТОЛИЦА,real_estate_agent,https://www.cian.ru/sale/flat/296470480/,Москва,sale,flat,8,9,2,44.0,-1,0,9699999,Вешняки, Старый Гай,2К4,Новогиреево,
БЕСТ-Недвижимость на Баррикадной,real_estate_agent,https://www.cian.ru/sale/flat/300054601/,Москва,sale,flat,10,12,2,38.2,-1,0,9700000,Гольяново,Щелковское шоссе,21к1,Черкизовская,
Огни Города,real_estate_agent,https://www.cian.ru/sale/flat/301833449/,Москва,sale,flat,14,14,2,36.0,-1,0,9900000,, Стожарова,7,Кокошкино,Новое Внуково
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/293619176/,Москва,sale,flat,2,9,2,57.7,-1,0,9900000,,проспект Куприна,38к1,Бунинская аллея,Эко Бунино
ID 50471446,realtor,https://www.cian.ru/sale/flat/297990067/,Москва,sale,flat,7,9,2,45.6,-1,0,9850000,Савёлки,Зеленоград,к301Б,Зеленоград — Крюково,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298758473/,Москва,sale,flat,11,12,2,38.1,-1,0,9990000,Северное Медведково,Студеный проезд,19,Медведково,
Оксана Гимишян,realtor,https://www.cian.ru/sale/flat/297562053/,Москва,sale,flat,4,9,2,44.6,-1,0,10000000,Метрогородок,Открытое шоссе,25К3,Бульвар Рокоссовского,
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/294453097/,Москва,sale,flat,9,9,2,45.0,-1,0,9950000,Вешняки, Красный Казанец,15К1,Выхино,
UNO-Estate,real_estate_agent,https://www.cian.ru/sale/flat/300895600/,Москва,sale,flat,2,9,2,45.0,-1,0,10000000,Орехово-Борисово Северное,Борисовский проезд,36К4,Домодедовская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301265869/,Москва,sale,flat,2,12,2,47.3,-1,0,10250000,Савёлки,Зеленоград,мкр. 3-й,Зеленоград — Крюково,
Эксклюзив Хоум,real_estate_agent,https://www.cian.ru/sale/flat/301737587/,Москва,sale,flat,1,9,2,44.1,-1,0,10300000,Рязанский, Федора Полетаева,17К1,Рязанский проспект,
ID 47136190,homeowner,https://www.cian.ru/sale/flat/300104026/,Москва,sale,flat,1,9,2,40.7,-1,0,10299000,Ивановское, Молостовых,11К2,Новогиреево,
ID 21026066,homeowner,https://www.cian.ru/sale/flat/301270092/,Москва,sale,flat,2,9,2,44.1,-1,0,10300000,Чертаново Центральное,Днепропетровская ,7К2,Южная,
ID 182291,real_estate_agent,https://www.cian.ru/sale/flat/299636831/,Москва,sale,flat,9,14,2,54.2,-1,0,10500000,, Харлампиева,48к1,Филатов Луг,Спортивный квартал
ID 97324922,homeowner,https://www.cian.ru/sale/flat/301824520/,Москва,sale,flat,3,16,2,52.5,-1,0,10500000,,,37,Коммунарка,
ID 116178698,homeowner,https://www.cian.ru/sale/flat/301823040/,Москва,sale,flat,4,12,2,51.4,-1,0,10500000,Капотня,5-й кв-л,1с3,Братиславская,
Валерия Советова,realtor,https://www.cian.ru/sale/flat/301457718/,Москва,sale,flat,3,9,2,45.0,-1,0,10700000,Вешняки,Вешняковская ,27К2,Выхино,
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/293400070/,Москва,sale,flat,5,9,2,46.0,-1,0,10800000,Вешняки,Вешняковская ,8К1,Выхино,
ТАНДЕМ,real_estate_agent,https://www.cian.ru/sale/flat/299477612/,Москва,sale,flat,6,16,2,55.15,-1,0,10900000,Южное Бутово, Захарьинские Дворики,3,Щербинка,
ID 164354,realtor,https://www.cian.ru/sale/flat/297898708/,Москва,sale,flat,1,16,2,35.0,-1,0,10950000,Ясенево,Голубинская ,24К1,Ясенево,
ID 485631,realtor,https://www.cian.ru/sale/flat/298513285/,Москва,sale,flat,5,5,2,26.5,-1,0,10990000,Южное Тушино,Химкинский бульвар,19К1,Сходненская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301312254/,Москва,sale,flat,5,5,2,121.0,-1,0,11000000,, Жемчужная,1к20,Филатов Луг,Марьино Град
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/301321592/,Москва,sale,flat,6,9,2,43.3,-1,0,11000000,Ясенево, Паустовского,4,Ясенево,
ID 112387555,homeowner,https://www.cian.ru/sale/flat/300525502/,Москва,sale,flat,11,12,2,48.0,-1,0,11000000,, Высотная,4а,Щербинка,
